,Unnamed: 0,Unnamed: 0.1,accident_latitude,accident_longitude,STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR,nearby_accidents,unsafe_accidents
0,0,0,40.86458056,-73.92334722,36,360044,1,1,0,1,1,1,1,61,4170,23,1,2017,2,17,43,0,2,5,4,6,SHERMAN AVE,,0,0,8,0,0,1,1,0,1,3,2,0,2,0,0,99,99,99,99,99,99,0,0,0,1,0,42.0,0.0
1,1,1,40.7934,-73.97083611,36,360085,1,1,0,1,1,1,1,61,4170,24,2,2017,6,5,57,1,2,3,4,6,AMSTERDAM AVE,W 95TH ST,0,0,8,0,0,3,2,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,107.0,0.0
2,2,2,40.71433889,-73.97489444,36,360136,1,1,0,0,0,3,3,61,4170,16,3,2017,5,3,12,1,2,2,4,6,WILLIAMSBURG BRIDGE,,0,0,20,0,0,1,1,0,3,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1,3.0,0.0
3,3,3,40.830225,-73.93499167,36,360146,1,1,0,1,1,1,1,61,4170,23,3,2017,5,23,4,1,2,2,1,3,SR-907P,,0,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,18.0,0.0
4,4,4,40.84576667,-73.93009722,36,360150,2,2,0,0,0,4,4,61,4170,27,3,2017,2,2,5,1,1,1,1,1,I-95 CROSS BRONX EXPRESSWAY,,0,0,12,1,0,1,1,0,1,3,2,0,2,0,0,99,99,99,99,3,52,0,0,0,1,2,38.0,0.0
5,5,5,40.81873056,-73.93817222,36,360183,4,1,3,0,0,1,1,61,4170,14,4,2017,6,15,20,0,2,4,4,6,W 142ND ST,,0,0,14,0,0,1,1,0,7,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,70.0,1.0
6,6,6,40.71445556,-73.98161389,36,360185,1,1,0,1,1,1,1,61,4170,7,3,2017,3,18,41,0,2,7,4,6,GRAND ST,COLUMBIA ST,0,0,8,0,0,3,3,0,1,3,10,0,10,0,0,99,99,99,99,99,99,0,0,0,1,0,23.0,0.0
7,7,7,40.77073889,-73.95088333,36,360204,1,1,0,1,1,3,3,61,4170,22,4,2017,7,21,30,0,2,7,4,6,YORK AVE,E 78TH ST,0,0,8,0,0,3,2,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,39.0,1.0
8,8,8,40.71166389,-74.01595556,36,360229,1,1,0,0,0,1,1,61,4170,11,5,2017,5,1,18,0,2,4,4,6,SOUTH END AVE,LIBERTY ST,0,0,26,0,0,3,10,0,4,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,44.0,1.0
9,9,9,40.72818611,-73.98491667,36,360237,1,1,0,1,1,1,1,61,4170,5,4,2017,4,7,19,1,2,3,4,6,1ST AVE,E 9TH ST,0,0,9,0,0,2,2,0,1,1,10,0,10,0,0,99,99,99,99,99,99,0,0,0,1,0,71.0,2.0
